Career Cluster,School District,High School,HS Course Name,HS Course Credits,HS Course Description,Type of Credit,HS Course CIP Code,College,College Course,College Course Name,College Credits,College Course Description,Applicable College Program,College Course CIP Code,Academic Years,Status of Articulation,Articulation,High School Teacher Name,Consortium Name
"Law, Public Safety, Corrections And Security",Bellingham,Darrington High School,NJROTC Drill Team 1A/1B (fire svs phys fitness),1.0,"Focuses on military drill training, physical fitness, and discipline, with an emphasis on fire service readiness.",CTE Dual Credit,310507,Bellingham Technical College,FIRES 104,Fire Service Physical Fitness I,5.0,Focuses on fitness training and conditioning tailored for fire service professionals.,Public Safety,43.0201,2025-2027,Active,Fire Service Physical Fitness I (drill team),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Bellingham,Mount Vernon High School,Computer Graphics OR Graphic Arts,1.0,"Explores digital design, visual communication, and graphic software tools like Adobe Photoshop and Illustrator.",CTE Dual Credit,100304,Bellingham Technical College,DMA 103,Digital 2D Design,3.0,"Explores digital illustration, composition, and design principles using industry-standard software.",Visual Arts,50.0102,2025-2027,Active,Graphic Design (DMA 103),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Lakewood High School,Pac NW Plants/Wildlife 1 [Intro to Soils] // Pac NW Plants/Wildlife 2 [Intro to Soils],1.0,"Examines regional plant and wildlife ecosystems, emphasizing soil science and conservation practices.",CTE Dual Credit,30103,Bellingham Technical College,ENV 108,Introduction to Ecology,5.0,"Examines ecological principles, environmental interactions, and conservation strategies.",Earth Science,40.0509,2025-2027,Active,Introduction to Soils,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Lakewood High School,Computer Science AP (yearlong),2.0,"A rigorous programming-focused course covering Java, object-oriented design, and problem-solving.",CTE Dual Credit,110701,Bellingham Technical College,CS 210,Fundamentals of Computer Science I,5.0,"Covers algorithms, data structures, and computational problem-solving techniques.",Computer Science,11.0201,2025-2027,Active,"Computer Science, AP (CS 210)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Marysville Pilchuck High School,Horticulture Science - AGR 261,1.0,"Studies plant biology, propagation, landscaping, and sustainable horticultural practices.",CTE Dual Credit,30103,Everett Community College, AGR 261,AGR 261 Plant Science,5.0,"Studies plant biology, growth, and agricultural applications.",Earth Science,40.0504,2025-2027,Active,Horticulture Science AGR 261,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Sultan High School,Baking and Pastry [Intro to Baking],1.0,"Covers fundamental baking techniques, ingredient functions, and pastry preparation.",CTE Dual Credit,120500,Everett Community College,CUL 113,Introduction to Baking,5.0,"Teaches fundamental baking techniques, ingredient functions, and pastry production.",Culinary Arts,12.0501,2025-2027,Active,Introduction to Baking,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Sultan High School,Digital Arts and Filmmaking 1 (540 hrs) [Digital Photography] // Digital Arts and Filmmaking 2 (540 hrs) [Digital Photography],1.0,"Introduces filmmaking, digital photography, and multimedia storytelling techniques.",CTE Dual Credit,100201,Everett Community College,DED 177,Digital Photography,5.0,"Introduces camera operation, composition, and photo editing techniques.",Visual Arts,50.0102,2025-2027,Active,Digital Photography,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Port Townsend High School,Advanced Video Production,1.0,"Provides hands-on experience in advanced filmmaking, editing, and production techniques.",CTE Dual Credit,100202,Everett Community College,DMA 201,Video and Sound Production I,5.0,"Covers video shooting, editing, and audio production fundamentals.",Visual Arts,50.0102,2024-2027,Active,DMA 201/Advanced Video Production,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Business, Management, And Administration",Everett,Port Townsend High School,WBL STEM 350831 // WBL STEM 350832,1.0,"Work-Based Learning (WBL) opportunities in STEM fields, integrating classroom knowledge with real-world experience.",CTE Dual Credit,148888,Everett Community College,RBM 111,Business Communications,5.0,"Develops professional writing, presentation, and workplace communication skills.",Business Management,52.0501,2024-2027,Active,Business Communications (hs class: stem),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Port Townsend High School,Nutrition and Wellness - 807101 [Intro to Nutrition],1.0,"Examines the principles of nutrition, healthy living, and dietary planning.",CTE Dual Credit,190501,Everett Community College,NUTR& 101,Introduction to Nutrition,5.0,"Explores human nutrition, dietary guidelines, and the role of nutrients in health.",Nutrition,34.0199,2024-2027,Active,Introduction to Nutrition,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Port Townsend High School,AP Computer Science A,2.0,"A college-level course focusing on Java programming, algorithms, and data structures.",CTE Dual Credit,110701,Everett Community College,CTEC 121,Intro to Programming & Problem Solving,5.0,"Focuses on programming logic, algorithm development, and software design.",Computer Science,11.0201,2024-2027,Active,CTEC 121/AP Computer Science A,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Coupeville High School,ASL I FL2011 // ASL I FL2012,1.0,"Introduces American Sign Language, including basic vocabulary, grammar, and Deaf culture.",CTE Dual Credit,161603,Everett Community College,ASL& 121,American Sign Language I,5.0,"Introduces ASL vocabulary, grammar, and Deaf culture.",Communications And Humanities,16.1601,2024-2027,Active,American Sign Language I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Coupeville High School,ITS & Cybersecurity 1 [IT Fundamentals] // ITS & Cybersecurity 2 [IT Fundamentals] // ITS & Cybersecurity 3 [IT Fundamentals],1.0,"Covers IT basics, networking, security principles, and cyber defense strategies.",CTE Dual Credit,111003,Everett Community College,NOS 106,IT Fundamentals,5.0,"Covers foundational IT concepts, hardware, software, and networking basics.",Computer Science,11.0201,2024-2027,Active,IT Fundamentals,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Edmonds High School,Pharmacy Tech - Pharm 131,1.0,"Prepares students for pharmacy technician roles, covering pharmacology, prescriptions, and healthcare ethics.",CTE Dual Credit,510805,Everett Community College,PHARM 131,Pharmacy Law and Ethics,5.0,"Examines legal regulations, ethical considerations, and pharmacy practice standards.",Pharmacy Technician,51.2002,2024-2027,Active,Pharmacy Tech - PHARM 131,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Lakewood High School,AGSCI 130 Intro to Animal Science,1.0,"Explores animal biology, nutrition, breeding, and livestock management.",CTE Dual Credit,10901,Everett Community College,AGSCI 130,AGSCI 130 Intro to Animal Science,5.0,"Studies animal biology, husbandry, and livestock management.",Biology,26.0701,2024-2027,Active,AGSCI 130 Intro to Animal Science,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Everett,Marysville Pilchuck High School,Sports Science - SCI371 [Kinesiology] // Sports Science - SCI372 [Kinesiology],1.0,"Examines human movement, sports performance, and exercise physiology.",CTE Dual Credit,510913,Everett Community College,KINS 250,Kinesiology,5.0,"Explores human movement, biomechanics, and physical activity principles.",Kinesiology,34.0199,2024-2026,Active,Kinesiology,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Marysville Pilchuck High School,Cooking Essentials // Cooking Intro,1.0,"Provides hands-on experience with basic cooking techniques, food safety, and meal preparation.",CTE Dual Credit,120500,Everett Community College,CUIS 146,Culinary Essentials,5.0,"Covers fundamental cooking techniques, food preparation, and kitchen safety.",Culinary Arts,12.0501,2024-2026,Active,CUIS 146/Cooking Intro & Cooking Essentials,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Marysville Pilchuck High School,Video Game Design,1.0,"Teaches game development, coding, and design principles using industry-standard tools.",CTE Dual Credit,110803,Everett Community College,GAME 101,Intro to Video Game Development,5.0,"Introduces game design principles, programming, and industry trends.",Computer Science,11.0201,2024-2026,Active,Video Game Design (GAME 101),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Finance,Everett,Lakewood High School,Financial Literacy,1.0,"Covers personal finance topics such as budgeting, credit, investments, and financial decision-making.",CTE Dual Credit,520801,Everett Community College,BUS 160,Personal Finance,3.0,"Teaches budgeting, credit management, and financial planning strategies.",Economics,52.0804,2024-2026,Active,BUS 160/Financial Literacy,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Everett,Mount Vernon High School,Food Science,1.0,"Examines the chemistry and biology behind food production, processing, and safety.",CTE Dual Credit,120500,Edmonds Community College,CART 115,Food Service Safety and Sanitation,3.0,"Covers food safety regulations, sanitation procedures, and ServSafe certification.",Culinary Arts,12.0501,2024-2026,Active,Food Science (CART 115),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Mount Vernon High School,Photography 1/AP Photography 927411 [Digital Imaging I: Adobe PS] // Photography 1/AP Photography 927413 [Digital Imaging I: Adobe PS],1.0,"Introduces digital photography, composition, and editing using Adobe Photoshop.",CTE Dual Credit,100201,Edmonds Community College,GTC 132,Digital Imaging I: Adobe Photoshop,5.0,"Focuses on image editing, retouching, and digital design using Photoshop.",Visual Arts,50.0102,2024-2026,Active,Digital Imaging I Adobe Photoshop,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Lakewood High School,Biotechnology (407SCI),2.0,"Covers lab techniques, genetics, and biotech applications in medicine and agriculture.",CTE Dual Credit,140501,Edmonds Community College,BIOL 274,Molecular Biology Lab,5.0,Provides hands-on experience in molecular biology techniques and genetic analysis.,Biology,26.0301,2024-2026,Active,Biotechnology (BIOL 274),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Lakewood High School,COSMETOLOGY YEAR ONE - 1 of  3 Intro to Cosmetology  (COS 101),1.0,"Introduces hairstyling, skincare, and cosmetology industry standards.",CTE Dual Credit,120401,Edmonds Community College,COS 101,Introduction to Cosmetology (COS 101),5.0,"Covers basic cosmetology concepts, hair care, and salon safety practices.",Communications And Humanities,51.9999,2024-2026,Active,Cosmetology Year 1 - 1 of 3  Intro to Cosmetology (COS 101),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Everett,Heritage High School,"Agriculture, Food, Natural Resources",1.0,"Explores agricultural science, food production, and environmental sustainability.",CTE Dual Credit,10000,Edmonds Community College,SAGE 150,Sustainable Agriculture,5.0,"Examines eco-friendly farming techniques, soil conservation, and sustainable food systems.",Earth Science,1.1201,2024-2026,Active,"Agriculture, Food, Natural Resources / SAGE 150",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Finance,Everett,Snohomish High School,Retail Operations 1 BUS220 [Accounting I] // Retail Operations 2 BUS221 [Accounting I],1.0,"Teaches retail management, customer service, and financial record-keeping.",CTE Dual Credit,520301,Edmonds Community College,ACTG 110,Accounting I,5.0,"Introduces basic accounting principles, financial statements, and bookkeeping.",Economics,52.0801,2024-2026,Active,Accounting I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Everett,Snohomish High School,"American Sign Language, 2nd Year",1.0,"Builds on ASL basics with advanced grammar, vocabulary, and conversational skills.",CTE Dual Credit,161603,Edmonds Community College,ASL& 122,American Sign Language 2,5.0,"Expands on ASL skills, conversational fluency, and cultural awareness.",Communications And Humanities,16.1601,2023-2026,Active,"American Sign Language, 2nd Year (ASL& 122)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Snohomish High School,Environmental Science,1.0,"Studies ecosystems, pollution, conservation, and sustainability efforts.",CTE Dual Credit,30104,Skagit Valley College,HORT 299,Horticulture - Independent Studies (4 credits),4.0,Allows students to conduct independent research in plant science and horticulture.,Environmental Science,26.0301,2023-2026,Active,Horticulture - Env Sci (HORT 299),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Skagit Valley,Snohomish High School,Careers In Education (EDUC& 202),1.0,Prepares students for careers in teaching through educational theory and classroom observation.,CTE Dual Credit,190708,Skagit Valley College,EDUC& 202,Introduction to Education,5.0,"Explores teaching methods, educational theories, and career pathways in education.",Education,13.121,2023-2026,Active,Intro to Education (EDUC& 202),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Law, Public Safety, Corrections And Security",Skagit Valley,Snohomish High School,Law Enforcement 8870 (540 hrs) [Intro to Investigation Forensics] // Law Enforcement 8871 (540 hrs) [Intro to Investigation Forensics],1.0,"Covers policing, criminal investigation, and forensic science.",CTE Dual Credit,430106,Skagit Valley College,CJ& 240,Introduction to Investigation Forensics (Intro to Forensic Science),3.0,"Introduces forensic science, crime scene investigation, and evidence analysis.",Pulic Safety,43.0103,2023-2026,Active,Introduction to Investigation Forensics,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Law, Public Safety, Corrections And Security",Skagit Valley,Lake Stevens High School,Criminal Justice PSC1V1 [Criminal Law] // Criminal Justice PSC1V2 [Criminal Law] // Criminal Justice PSC1V3 [Criminal Law],1.0,"Examines criminal law, the justice system, and legal procedures.",CTE Dual Credit,430107,Skagit Valley College,CJ 102,Introduction to Criminal Law,1.0,"Covers the fundamentals of criminal law, legal procedures, and court systems.",Public Safety,43.0103,2023-2026,Active,Criminal Law (CJ102),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Lake Stevens High School,Drone Pilot (UAS) [Private Pilot Basic Ground School],1.0,"Introduces drone operation, FAA regulations, and flight safety.",CTE Dual Credit,490102,Skagit Valley College,AVP 105,Private Pilot Basic Ground School,5.0,Prepares students for FAA ground school with flight theory and navigation basics.,Multi-Occupational Trades,49.0102,2023-2026,Active,Private Pilot Basic Ground School,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Mount Vernon High School,Biotechnology (SCB315A/B),1.0,"Focuses on laboratory techniques, genetic engineering, and biotech research applications.",CTE Dual Credit,140501,Skagit Valley College,BIOL 274,Molecular Biology Lab,5.0,"Provides laboratory techniques for studying DNA, RNA, and proteins.",Biology,26.0805,2023-2026,Active,Biotechnology (BIOL 274),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Mount Vernon High School,Human Body Systems,1.0,"Examines human anatomy, physiology, and the interactions of body systems.",CTE Dual Credit,260102,Skagit Valley College,MEDA 130,Anatomy/Physiology & Pathophysiology I (MEDA 130),3.0,"Covers human body systems, disease processes, and medical terminology.",Nursing,51.0001,2023-2026,Active,"Human Body Systems PLTW (MEDA 130,131 & 162)",[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Mount Vernon High School,Technical Literacy - Computer Literacy,1.0,"Develops proficiency in computer applications, digital communication, and basic coding.",CTE Dual Credit,110201,Skagit Valley College,CIS 100,Computer Literacy (CIS 100),5.0,"Introduces basic computer skills, software applications, and digital communication.",Computer Science,11.0201,2023-2026,Active,Computer Literacy - CIS 100 (WCC),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Hospitality And Tourism,Skagit Valley,Lake Stevens High School,Culinary 1,1.0,"Introduces cooking techniques, food preparation, and culinary industry standards.",CTE Dual Credit,120500,Skagit Valley College,CUL 110,Sanitation - ServSafe (CUL 110),5.0,Prepares students for ServSafe certification in food safety and sanitation.,Culinary Arts,12.0501,2023-2026,Active,Sanitation & Safety - CUL 110 (BTC),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Business, Management, And Administration",Skagit Valley,Lake Stevens High School,Business & Entrepreneurship,2.0,"Covers business principles, marketing, and startup development.",CTE Dual Credit,520000,Skagit Valley College,BUS 115,Small Business Managment,5.0,"Covers entrepreneurship, business planning, and operational strategies.",Business Management,52.0703,2023-2026,Active,BUS 115/Business & Entrepreneurship,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Ferndale High School,Introduction to Engineering Design / ENG T 100 Intro to Engineering Graphics with 2D AutoCAD,1.0,"Teaches engineering design principles, technical drawing, and AutoCAD software.",CTE Dual Credit,151302,Skagit Valley College,ENG T 100,Intro to Engineering Graphics with 2D AutoCAD,3.0,Teaches technical drawing and CAD software for engineering design.,Engineering,15.1302,2023-2026,Active,Introduction to Engineering Design / ENG T 100 Intro to Engineering Graphics with 2D AutoCAD,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Lake Stevens High School,Construction Trades 2A ICT401 [Basic Carpentry Skills] // Construction Trades 2B ICT402 [Basic Carpentry Skills],1.0,"Covers carpentry techniques, tool use, and construction safety.",CTE Dual Credit,460201,Skagit Valley College,CONST 106,Basic Carpentry Skills,5.0,"Introduces fundamental carpentry techniques, tool usage, and construction safety.",Advanced Manufacturing And Design,46.0201,2023-2026,Active,Basic Carpentry Skills [CONST 106],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Lake Stevens High School,Graphic Design (MIT 226),1.0,"Teaches principles of design, branding, and digital media creation.",CTE Dual Credit,100304,Skagit Valley College,MIT 226,Adobe Photoshop (MIT 226),3.0,Explores advanced Photoshop tools for digital imaging and design.,Visual Arts,50.0102,2023-2026,Active,Graphic Design (MIT 226),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Lake Stevens High School,Health,1.0,"Explores personal health, wellness, and disease prevention strategies.",CTE Dual Credit,260102,Skagit Valley College,IFAD 162,First Aid / CPR for Health Care Providers,5.0,Provides CPR and emergency response training for healthcare settings.,Nursing,51.0001,2025-2026,Active,Health (IFAD 162),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Lynden High School,Floral Design - AGHRT 211,1.0,"Covers flower arranging, horticulture, and floral business management.",CTE Dual Credit,10608,Skagit Valley College,AGHRT 211,Floral Design Techniques,5.0,"Teaches floral arrangement, design principles, and event planning applications.",Multi-Occupational Trades,36.0199,2025-2026,Active,Floral Design - AGHRT 211,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Skagit Valley,Sequoia High School,Teaching Academy 1 - CIE311 [Careers in Educ Pract K-12] // Teaching Academy 2 - CIE312 [Careers in Educ Pract K-12],1.0,Provides hands-on experience in education and classroom instruction.,CTE Dual Credit,190708,Skagit Valley College,EDUC& 191,Field Experience I - Cooperative Work Experience (Careers in Ed Practicum K-12),1.0,Provides hands-on teaching experience in K-12 classrooms.,Education,13.121,2025-2026,Active,Careers in Education Practicum (grades K-12) [EDUC& 191],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Sequoia High School,Skilled Trades Pre-Apprenticeship [Safety & Operating Certificate],1.0,Prepares students for entry into skilled trade apprenticeships.,CTE Dual Credit,469998,Skagit Valley College,CONST 102,Safety & Operating Certificate,5.0,"Covers workplace safety, equipment operation, and industry standards.",Advanced Manufacturing And Design,46.9999,2025-2026,Active,Safety & Operating Certificate [CONST 102],[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Marysville Pilchuck High School,Animal Science 1 // Animal Science 2,1.0,"Explores livestock management, animal health, and breeding practices.",CTE Dual Credit,10901,Skagit Valley College,AG 102,Intro to Animal Science and Lab,3.0,"Studies animal anatomy, nutrition, and agricultural applications.",Biology,26.0701,2025-2026,Active,Animal Science (Chiawana),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Skagit Valley,Marysville Pilchuck High School,CDL Prep-TRK 110,2.0,"Prepares students for the Commercial Driver’s License (CDL) exam, covering driving regulations and vehicle operation.",CTE Dual Credit,521907,Skagit Valley College,TRK 110,Truck Driver Training,1.0,Prepares students for obtaining a Commercial Driver’s License (CDL).,Multi-Occupational Trades,49.0205,2025-2026,Active,CDL Prep - TRK 110,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Arts, A/V Technology, and Communications",Skagit Valley,Sequoia High School,Video Production,1.0,"Teaches filmmaking, editing, and production techniques.",CTE Dual Credit,100202,Skagit Valley College,FILM 285,Film Production (FILM 285),5.0,"Covers film production techniques, directing, and post-production editing.",Visual Arts,50.0102,2025-2026,Active,Video Production (FILM 285),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Marysville Pilchuck High School,Intro to Medical Careers - 466111 // Intro to Medical Careers - 466112,1.0,"Introduces healthcare professions, medical ethics, and basic patient care.",CTE Dual Credit,260102,Skagit Valley College,BTECM 149,Introduction to Medical Careers,5.0,Provides an overview of healthcare professions and industry expectations.,Nursing,51.3801,2025-2026,Active,Introduction to Medical Careers,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Sequoia High School,Anatomy and Physiology,1.0,Studies the structure and function of the human body with a focus on medical applications.,CTE Dual Credit,510801,Skagit Valley College,MED102,Medical Terminology for Medical Assistants MED,5.0,Introduces terminology used in medical settings for effective communication.,Nursing,51.3801,2024-2026,Active,Medical Terminology/MED102,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Education And Training,Bellingham,Heritage High School,Early Childhood Education B 801102 [Child Development],1.0,"Explores child growth and development from birth through adolescence, focusing on physical, social, emotional, and cognitive milestones. Students gain insight into parenting, education careers, and child care best practices.",Running Start,190708,Whatcom Community College,EDUC& 115,Child Development,5.0,"Explores the physical, emotional, social, and cognitive development of children from birth through adolescence, with an emphasis on practical application in early childhood education settings.",Early Childhood Education,13.121,2025-2026,Pending,Child Development,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Heritage High School,[Engineering Graphics II] // Engineering Dsn CTE029 [Engineering Graphics II],3.0,"Builds on foundational engineering drawing skills with a focus on advanced CAD design, dimensioning, orthographic projection, and 3D modeling used in engineering and technical fields.",CTE Dual Enrollment,151302,Whatcom Community College,ENGR& 112,Engineering Graphics II,5.0,"Covers advanced engineering drawing concepts including section views, dimensioning, tolerancing, and CAD-based 3D modeling techniques used in mechanical design.",Engineering,15.1301,2026-2027,Active,Engineering Graphics II,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Manufacturing,Bellingham,Heritage High School,Adv Manuf CTE255 [Machine Components YA],1.0,"Introduces students to the function and operation of mechanical components used in manufacturing, such as gears, bearings, fasteners, and shafts. Hands-on learning reinforces technical concepts and real-world industrial applications.",CiHS,150613,Whatcom Community College,FACM 107 (IMMA 203),Machine Components Youth Apprentice,5.0,"Introduces machine components and their applications in industrial settings, focusing on mechanical systems, fasteners, gears, bearings, and assembly practices relevant to youth apprenticeships.",Marine Maintenance Technology,46.9999,2025-2026,Active,Machine Components Youth Apprentice,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Heritage High School,Robotics - 352151 // Robotics - 352152,1.0,"Covers the principles of robotics and automation, including mechanical systems, sensors, and introductory programming. Students work in teams to design, build, and program robots to complete real-world tasks.",Running Start,150406,Whatcom Community College,"TRON 117, TRON 141, TRON 147",Robotics I,1.0,"Provides foundational knowledge of robotic systems, including basic electronics, mechanical design, sensor integration, and programming autonomous behavior.",Engineering,14.4201,25-26,Active,Robotics I,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Law, Public Safety, Corrections And Security",Bellingham,Arlington High School,Fire Science SCI243 [Orientation to Fire Svs],1.0,"Provides an overview of fire service careers, fire department structure, emergency response protocols, safety practices, and the personal and physical demands of firefighting.",CTE Dual Credit,430203,Whatcom Community College,FIRES 101,Orientation to Fire Service,3.0,"An introduction to the fire service profession, including its history, organization, culture, safety practices, and the roles and responsibilities of firefighters.",Public Safety,43.0201,2025-2026,Active,Orientation to Fire Service,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Heritage High School,Robotics 2A: Engineering CTE210 [Robotics II],1.0,"Expands on foundational robotics knowledge with a focus on advanced programming, control systems, and autonomous robotic navigation. Students engage in project-based learning and competitive challenges.",CTE Dual Credit,150405,Whatcom Community College,"TRON 114, 127, 211, 217",Robotics II,1.0,"Expands on robotics concepts with advanced control systems, automation, microcontroller programming, and project-based learning using real-world robotics applications.",Engineering,14.4201,2025-2026,Active,Robotics II,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Business, Management, And Administration",Bellingham,Arlington High School,Retail Management / Student Store,1.0,"Introduces the fundamentals of retail operations, marketing, and customer service. Students gain real-world experience managing inventory, financials, and sales in a school-based enterprise.",CTE Dual Credit,520703,Whatcom Community College,MKTG 135,Principles of Retailing,3.0,"Covers the fundamentals of retail operations, merchandising, store layout, pricing strategies, and customer service with a focus on practical business applications.",Business Management,52.1401,24-25,Active,Marketing - Retail (MKTG 135),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Bellingham,Glacier Peak High School,Coding in Python 1 (1 & 2 Required),1.0,"Introduces students to programming fundamentals using Python. Covers variables, loops, conditionals, functions, and object-oriented programming with an emphasis on problem-solving and creative applications.",CTE Dual Credit,110201,Whatcom Community College,DEV 108,"Python Programming, Introduction to DEV 108",5.0,"Teaches the basics of Python programming, including variables, data types, control structures, functions, and simple object-oriented programming techniques.",Computer Science,11.0201,2025-2026,Active,Python 1 & 2 (DEV 108),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Law, Public Safety, Corrections And Security",Bellingham,Nooksack Valley High School,Forensic Science,1.0,"Explores the science behind criminal investigations, including crime scene analysis, fingerprinting, DNA, toxicology, and ballistics. Students engage in hands-on labs and case study analysis.",CTE Dual Credit,430106,Whatcom Community College,CJ& 101,Introduction to CJ& 101,5.0,"Surveys the American criminal justice system, including law enforcement, courts, and corrections, with an emphasis on current practices and legal foundations.",Public Safety,43.0104,2025-2026,Active,Forensics (CJ& 101) Criminal Justice,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Snohomish High School,Health - PE 100,1.0,"Focuses on developing lifelong wellness habits through personal fitness, nutrition, stress management, and decision-making related to health and well-being.",Running Start,310507,Skagit Valley College,PE 100,Lifetime Wellness PE 100,5.0,"Promotes lifelong health and wellness through physical activity, nutrition, stress management, and personal fitness planning.",Nutrition,34.0103,2024-2027,Active,Health - PE 100,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
"Business, Management, And Administration",Skagit Valley,Nooksack Valley High School,Entrepreneurship,1.0,"Guides students through the process of developing a business idea, writing a business plan, and exploring marketing, finance, and leadership. Encourages innovation, critical thinking, and real-world application.",CTE Dual Credit,520701,Skagit Valley College,BUS 250,Entrepreneurship BUS 250,5.0,"Explores the fundamentals of starting and managing a small business, including business planning, marketing, financing, and innovation strategies.",Business Management,52.0101,2025-2026,Active,Entrepreneurship (BUS 250),[HS Teacher Name Placeholder],[Consortium Name Placeholder]
Health Sciences,Skagit Valley,Snohomish High School,Medical Ethics - HED 239,1.0,"Explores ethical issues in the healthcare field including patient rights, confidentiality, informed consent, and professional standards. Encourages thoughtful discussion of real-world scenarios.",Running Start,510717,Skagit Valley College,HED 239,Medical Ethics HED 239,3.0,"Examines ethical issues in healthcare, including confidentiality, informed consent, patient autonomy, and professional responsibility.",Nursing,51.3201,2023-2024,Expired,Medical Ethics - HED 239,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
STEM,Skagit Valley,Ferndale High School,Plant Science A [Intro to Soils],2.0,"Examines soil science, plant growth, and environmental sustainability. Students study soil composition, fertility, and conservation techniques relevant to agriculture and horticulture.",CTE Dual Credit,101602,Skagit Valley College,ENV 260,Introduction to Soils,5.0,"Introduces soil science with topics such as soil formation, classification, physical and chemical properties, and their role in agriculture and environmental management.",Earth Science,40.0504,2025-2026,Pending,Introduction to Soils,[HS Teacher Name Placeholder],[Consortium Name Placeholder]
