College,College District,Articulation,College Program,Career Cluster,College Course,College Course Name,College Credits,College Course CIP Code,College Course Description,High School,HS Course Name,HS Course CIP Code,HS Course Credits,HS Course Description,Academic Years,Type of Credit,Status of Articulation
Edmonds Community College,,Accounting I,,,ACTG 110,Accounting I,5.0,,"Introduces basic accounting principles, financial statements, and bookkeeping.",,Retail Operations 1 BUS220 [Accounting I] // Retail Operations 2 BUS221 [Accounting I],,1.0,"Teaches retail management, customer service, and financial record-keeping.",,CTE Dual Credit,Active
Edmonds Community College,,"American Sign Language, 2nd Year (ASL& 122)",,,ASL& 122,American Sign Language 2,5.0,,"Expands on ASL skills, conversational fluency, and cultural awareness.",,"American Sign Language, 2nd Year",,1.0,"Builds on ASL basics with advanced grammar, vocabulary, and conversational skills.",,CTE Dual Credit,Active
Skagit Valley College,,Horticulture - Env Sci (HORT 299),,,HORT 299,Horticulture - Independent Studies (4 credits),4.0,,Allows students to conduct independent research in plant science and horticulture.,,Environmental Science,,1.0,"Studies ecosystems, pollution, conservation, and sustainability efforts.",,CTE Dual Credit,Active
Skagit Valley College,,Intro to Education (EDUC& 202),,,EDUC& 202,Introduction to Education,5.0,,"Explores teaching methods, educational theories, and career pathways in education.",,Careers In Education (EDUC& 202),,1.0,Prepares students for careers in teaching through educational theory and classroom observation.,,CTE Dual Credit,Active
Skagit Valley College,,Introduction to Investigation Forensics,,,CJ& 240,Introduction to Investigation Forensics (Intro to Forensic Science),3.0,,"Introduces forensic science, crime scene investigation, and evidence analysis.",,Law Enforcement 8870 (540 hrs) [Intro to Investigation Forensics] // Law Enforcement 8871 (540 hrs) [Intro to Investigation Forensics],,1.0,"Covers policing, criminal investigation, and forensic science.",,CTE Dual Credit,Active
Skagit Valley College,,Criminal Law (CJ102),,,CJ 102,Introduction to Criminal Law,1.0,,"Covers the fundamentals of criminal law, legal procedures, and court systems.",,Criminal Justice PSC1V1 [Criminal Law] // Criminal Justice PSC1V2 [Criminal Law] // Criminal Justice PSC1V3 [Criminal Law],,1.0,"Examines criminal law, the justice system, and legal procedures.",,CTE Dual Credit,Active
Skagit Valley College,,Private Pilot Basic Ground School,,,AVP 105,Private Pilot Basic Ground School,5.0,,Prepares students for FAA ground school with flight theory and navigation basics.,,Drone Pilot (UAS) [Private Pilot Basic Ground School],,1.0,"Introduces drone operation, FAA regulations, and flight safety.",,CTE Dual Credit,Active
Skagit Valley College,,Biotechnology (BIOL 274),,,BIOL 274,Molecular Biology Lab,5.0,,"Provides laboratory techniques for studying DNA, RNA, and proteins.",,Biotechnology (SCB315A/B),,1.0,"Focuses on laboratory techniques, genetic engineering, and biotech research applications.",,CTE Dual Credit,Active
Skagit Valley College,,"Human Body Systems PLTW (MEDA 130,131 & 162)",,,MEDA 130,Anatomy/Physiology & Pathophysiology I (MEDA 130),3.0,,"Covers human body systems, disease processes, and medical terminology.",,Human Body Systems,,1.0,"Examines human anatomy, physiology, and the interactions of body systems.",,CTE Dual Credit,Active
Skagit Valley College,,Computer Literacy - CIS 100 (WCC),,,CIS 100,Computer Literacy (CIS 100),5.0,,"Introduces basic computer skills, software applications, and digital communication.",,Technical Literacy - Computer Literacy,,1.0,"Develops proficiency in computer applications, digital communication, and basic coding.",,CTE Dual Credit,Active
Skagit Valley College,,Sanitation & Safety - CUL 110 (BTC),,,CUL 110,Sanitation - ServSafe (CUL 110),5.0,,Prepares students for ServSafe certification in food safety and sanitation.,,Culinary 1,,1.0,"Introduces cooking techniques, food preparation, and culinary industry standards.",,CTE Dual Credit,Active
Skagit Valley College,,BUS 115/Business & Entrepreneurship,,,BUS 115,Small Business Managment,5.0,,"Covers entrepreneurship, business planning, and operational strategies.",,Business & Entrepreneurship,,2.0,"Covers business principles, marketing, and startup development.",,CTE Dual Credit,Active
Skagit Valley College,,Introduction to Engineering Design / ENG T 100 Intro to Engineering Graphics with 2D AutoCAD,,,ENG T 100,Intro to Engineering Graphics with 2D AutoCAD,3.0,,Teaches technical drawing and CAD software for engineering design.,,Introduction to Engineering Design / ENG T 100 Intro to Engineering Graphics with 2D AutoCAD,,1.0,"Teaches engineering design principles, technical drawing, and AutoCAD software.",,CTE Dual Credit,Active
Skagit Valley College,,Basic Carpentry Skills [CONST 106],,,CONST 106,Basic Carpentry Skills,5.0,,"Introduces fundamental carpentry techniques, tool usage, and construction safety.",,Construction Trades 2A ICT401 [Basic Carpentry Skills] // Construction Trades 2B ICT402 [Basic Carpentry Skills],,1.0,"Covers carpentry techniques, tool use, and construction safety.",,CTE Dual Credit,Active
Skagit Valley College,,Graphic Design (MIT 226),,,MIT 226,Adobe Photoshop (MIT 226),3.0,,Explores advanced Photoshop tools for digital imaging and design.,,Graphic Design (MIT 226),,1.0,"Teaches principles of design, branding, and digital media creation.",,CTE Dual Credit,Active
Skagit Valley College,,Health (IFAD 162),,,IFAD 162,First Aid / CPR for Health Care Providers,5.0,,Provides CPR and emergency response training for healthcare settings.,,Health,,1.0,"Explores personal health, wellness, and disease prevention strategies.",,CTE Dual Credit,Active
Skagit Valley College,,Floral Design - AGHRT 211,,,AGHRT 211,Floral Design Techniques,5.0,,"Teaches floral arrangement, design principles, and event planning applications.",,Floral Design - AGHRT 211,,1.0,"Covers flower arranging, horticulture, and floral business management.",,CTE Dual Credit,Active
Skagit Valley College,,Careers in Education Practicum (grades K-12) [EDUC& 191],,,EDUC& 191,Field Experience I - Cooperative Work Experience (Careers in Ed Practicum K-12),1.0,,Provides hands-on teaching experience in K-12 classrooms.,,Teaching Academy 1 - CIE311 [Careers in Educ Pract K-12] // Teaching Academy 2 - CIE312 [Careers in Educ Pract K-12],,1.0,Provides hands-on experience in education and classroom instruction.,,CTE Dual Credit,Active
Skagit Valley College,,Safety & Operating Certificate [CONST 102],,,CONST 102,Safety & Operating Certificate,5.0,,"Covers workplace safety, equipment operation, and industry standards.",,Skilled Trades Pre-Apprenticeship [Safety & Operating Certificate],,1.0,Prepares students for entry into skilled trade apprenticeships.,,CTE Dual Credit,Active
Skagit Valley College,,Animal Science (Chiawana),,,AG 102,Intro to Animal Science and Lab,3.0,,"Studies animal anatomy, nutrition, and agricultural applications.",,Animal Science 1 // Animal Science 2,,1.0,"Explores livestock management, animal health, and breeding practices.",,CTE Dual Credit,Active
Skagit Valley College,,CDL Prep - TRK 110,,,TRK 110,Truck Driver Training,1.0,,Prepares students for obtaining a Commercial Driver’s License (CDL).,,CDL Prep-TRK 110,,2.0,"Prepares students for the Commercial Driver’s License (CDL) exam, covering driving regulations and vehicle operation.",,CTE Dual Credit,Active
Skagit Valley College,,Video Production (FILM 285),,,FILM 285,Film Production (FILM 285),5.0,,"Covers film production techniques, directing, and post-production editing.",,Video Production,,1.0,"Teaches filmmaking, editing, and production techniques.",,CTE Dual Credit,Active
Skagit Valley College,,Introduction to Medical Careers,,,BTECM 149,Introduction to Medical Careers,5.0,,Provides an overview of healthcare professions and industry expectations.,,Intro to Medical Careers - 466111 // Intro to Medical Careers - 466112,,1.0,"Introduces healthcare professions, medical ethics, and basic patient care.",,CTE Dual Credit,Active
Skagit Valley College,,Medical Terminology/MED102,,,MED102,Medical Terminology for Medical Assistants MED,5.0,,Introduces terminology used in medical settings for effective communication.,,Anatomy and Physiology,,1.0,Studies the structure and function of the human body with a focus on medical applications.,,CTE Dual Credit,Active
